hotsearch_id,keyword,platform,search_volume,peak_time,category,ip_name,date
1,Labubu新品首发,微博,2850000,2024-07-15 10:00,新品上市,Labubu,2024-07-15
2,泡泡玛特盲盒开箱,小红书,1920000,2024-07-15 20:00,开箱分享,综合,2024-07-15
3,Molly联名款,抖音,3200000,2024-07-16 12:00,联名合作,Molly,2024-07-16
4,Dimoo星座系列,微博,1580000,2024-07-16 18:00,系列发售,Dimoo,2024-07-16
5,Skull Panda暗黑风,小红书,2100000,2024-07-17 09:00,风格讨论,Skull Panda,2024-07-17
6,Labubu价格暴涨,微博,4500000,2024-07-17 15:00,价格讨论,Labubu,2024-07-17
7,泡泡玛特门店排长队,抖音,2800000,2024-07-18 11:00,门店热度,综合,2024-07-18
8,Labubu二手市场,微博,3800000,2024-07-18 20:00,二手交易,Labubu,2024-07-18
9,Molly隐藏款概率,小红书,1650000,2024-07-19 10:00,概率讨论,Molly,2024-07-19
10,泡泡玛特海外爆火,抖音,5200000,2024-07-19 14:00,海外热度,综合,2024-07-19
11,Dimoo梦境系列开箱,小红书,1380000,2024-07-20 08:00,开箱分享,Dimoo,2024-07-20
12,Labubu挂件断货,微博,3600000,2024-07-20 16:00,供货问题,Labubu,2024-07-20
13,Skull Panda艺术联名,微博,2400000,2024-07-21 12:00,联名合作,Skull Panda,2024-07-21
14,泡泡玛特会员日活动,抖音,1800000,2024-07-21 20:00,促销活动,综合,2024-07-21
15,Molly生日限定款,小红书,2200000,2024-07-22 09:00,限定发售,Molly,2024-07-22
16,Labubu表情包火了,微博,6100000,2024-07-22 13:00,表情包,Labubu,2024-07-22
17,泡泡玛特股价飙升,微博,4800000,2024-07-23 10:00,资本市场,综合,2024-07-23
18,Dimoo水族馆系列,小红书,1500000,2024-07-23 19:00,系列发售,Dimoo,2024-07-23
19,泡泡玛特七夕礼盒,抖音,3500000,2024-07-24 11:00,节日营销,综合,2024-07-24
20,Labubu x 奢侈品联名,微博,7200000,2024-07-24 15:00,联名合作,Labubu,2024-07-24
21,Skull Panda暗黑美学,小红书,1950000,2024-07-25 08:00,风格讨论,Skull Panda,2024-07-25
22,Molly经典款复刻,微博,2800000,2024-07-25 14:00,经典复刻,Molly,2024-07-25
23,泡泡玛特IP授权收入,抖音,1600000,2024-07-26 10:00,商业数据,综合,2024-07-26
24,Labubu泰国爆火,微博,5500000,2024-07-26 16:00,海外热度,Labubu,2024-07-26
25,Dimoo城市系列完结,小红书,1250000,2024-07-27 09:00,系列完结,Dimoo,2024-07-27
26,泡泡玛特暑假营销,抖音,2600000,2024-07-27 13:00,营销活动,综合,2024-07-27
27,Labubu手办收藏价值,微博,3200000,2024-07-28 11:00,收藏投资,Labubu,2024-07-28
28,Molly可爱风争议,小红书,1800000,2024-07-28 20:00,风格争议,Molly,2024-07-28
29,Skull Panda限量发售,微博,2700000,2024-07-29 10:00,限量发售,Skull Panda,2024-07-29
30,泡泡玛特海外门店扩张,抖音,4100000,2024-07-29 15:00,海外扩张,综合,2024-07-29
