comment_id,hotsearch_id,platform,username,comment_text,sentiment,likes,replies,timestamp
1,1,微博,用户A_2837,Labubu也太可爱了吧！新系列必入！,positive,1250,89,2024-07-15 10:15:00
2,1,微博,用户B_5521,终于等到了！赶紧去门店排队,positive,830,45,2024-07-15 10:22:00
3,1,小红书,萌物收集家,刚开箱了三个 每一个都绝绝子,positive,2100,156,2024-07-15 11:05:00
4,1,抖音,潮玩达人小王,这波上新太给力了 Labubu颜值在线,positive,5600,320,2024-07-15 12:30:00
5,1,微博,用户C_9982,价格也太贵了吧 一个盲盒要129,neutral,450,67,2024-07-15 13:00:00
6,2,小红书,开箱博主小美,今天的开箱太惊喜了！隐藏款出货！,positive,3500,210,2024-07-15 20:30:00
7,2,小红书,泡泡玛特忠粉,开箱视频已发 大家快去看,positive,1800,95,2024-07-15 20:45:00
8,2,抖音,盲盒开箱日常,连续开了十个都没有隐藏款 哭了,neutral,2300,180,2024-07-15 21:00:00
9,2,微博,用户D_3344,开箱这种事还是要看运气的,neutral,670,34,2024-07-15 21:30:00
10,3,抖音,时尚联名控,Molly联名太绝了 这设计感满分,positive,8900,560,2024-07-16 12:15:00
11,3,抖音,潮流先锋,这个联名设计确实很有创意,positive,4200,230,2024-07-16 12:30:00
12,3,微博,用户E_7765,联名款就是抢钱 质量配不上价格,neutral,1500,89,2024-07-16 13:00:00
13,3,小红书,设计爱好者,设计灵感来源分析 每个细节都很用心,positive,3200,178,2024-07-16 14:00:00
14,4,微博,星座迷小张,Dimoo星座系列太浪漫了 每个星座都想要,positive,2800,145,2024-07-16 18:30:00
15,4,小红书,Dimoo粉丝团,水瓶座的Dimoo简直是为我量身定做,positive,1900,98,2024-07-16 19:00:00
16,4,微博,用户F_1123,星座系列概念很好但做工一般,neutral,980,56,2024-07-16 19:30:00
17,5,小红书,暗黑美学爱好者,Skull Panda暗黑风太酷了 完全戳中审美,positive,4500,280,2024-07-17 09:15:00
18,5,小红书,艺术收藏家,这种艺术感的设计 泡泡玛特里独一份,positive,3100,165,2024-07-17 09:45:00
19,5,微博,用户G_4456,暗黑风不是所有人都能接受 有点太另类了,neutral,750,42,2024-07-17 10:30:00
20,6,微博,价格观察者,Labubu二手价格翻了三倍 这市场太疯狂了,neutral,6700,420,2024-07-17 15:10:00
21,6,微博,投资分析师小李,泡泡玛特IP价值持续攀升 Labubu是核心资产,positive,5200,310,2024-07-17 15:30:00
22,6,微博,普通消费者,炒这么高 以后谁还买得起啊,neutral,3400,210,2024-07-17 16:00:00
23,6,小红书,理性消费派,价格泡沫太大了 大家理性消费,neutral,2800,156,2024-07-17 16:30:00
24,7,抖音,探店博主老张,泡泡玛特门店排队盛况 实在太火爆了,positive,7200,380,2024-07-18 11:15:00
25,7,抖音,购物达人小陈,等了两个小时终于买到 感动哭了,positive,3500,190,2024-07-18 13:00:00
26,7,微博,用户H_8876,门店服务态度要改善 排队体验太差了,neutral,1200,78,2024-07-18 14:00:00
27,8,微博,二手市场观察,Labubu二手市场价格走势分析 涨幅惊人,neutral,8900,560,2024-07-18 20:15:00
28,8,微博,用户I_2234,黄牛太可恶了 把价格炒这么高,neutral,4500,280,2024-07-18 20:45:00
29,8,小红书,收藏投资顾问,Labubu限量款未来升值空间还很大,positive,3200,178,2024-07-18 21:30:00
30,9,小红书,概率学爱好者,隐藏款概率只有1/144 这概率太低了,neutral,2100,134,2024-07-19 10:15:00
31,9,小红书,盲盒老手,买了200个终于出隐藏款 这概率感人,positive,5600,320,2024-07-19 11:00:00
32,9,微博,用户J_5567,Molly隐藏款概率讨论 是否合理,neutral,1800,95,2024-07-19 12:00:00
33,10,抖音,海外华人小刘,在纽约看到泡泡玛特门店排长队 国货之光,positive,12000,680,2024-07-19 14:15:00
34,10,抖音,国际潮流观察,泡泡玛特海外扩张速度惊人 品牌影响力全球化,positive,8500,450,2024-07-19 15:00:00
35,10,微博,用户K_3345,中国潮玩品牌终于走向世界了 值得骄傲,positive,6700,340,2024-07-19 16:00:00
36,10,小红书,海外代购小王,泰国曼谷的泡泡玛特也要排队 跟国内一样,positive,4200,230,2024-07-19 17:00:00
37,11,小红书,Dimoo忠实粉,梦境系列开箱 每一款都像艺术品,positive,2800,145,2024-07-20 08:30:00
38,11,小红书,开箱达人小美,梦境系列做工比之前的系列好太多了,positive,1900,98,2024-07-20 09:00:00
39,11,微博,用户L_7789,Dimoo系列一直品质在线 支持,positive,1200,67,2024-07-20 09:30:00
40,12,微博,断货受害者,Labubu挂件又断货了！每次上新都秒没,neutral,5600,340,2024-07-20 16:15:00
41,12,微博,用户M_1122,供货不足严重影响消费体验 泡泡玛特该改进了,neutral,3200,178,2024-07-20 17:00:00
42,12,抖音,潮玩店老板,Labubu挂件根本拿不到货 供应链问题太大了,neutral,2800,156,2024-07-20 18:00:00
